fund_name,fund_url,AUM (€),linkedin_url,investment_geographies,fund_description,fund_portfolio
Apeiron Partners,https://www.vestbee.com/lp-list/apeiron-partners,200000000,https://www.linkedin.com/company/apeironpartners/about/,"Germany, Global","Apeiron Partners is a fund of funds investing in access-constrained, high conviction and bold thesis fund managers. Firm's core focus is emerging early-stage venture funds, but it also secures positions in top performing established funds. We use cookies for analytics and to improve your experience. You agree to the use of cookies by browsing this website or closing this banner.",
APG Asset Management,https://www.vestbee.com/lp-list/apg-asset-management,515000000000,https://www.linkedin.com/company/apg-asset-management/,"Netherlands, Global",APG Asset Management is a asset management firm with a global investment strategy. The company is one of the world’s largest pension investors. We use cookies for analytics and to improve your experience. You agree to the use of cookies by browsing this website or closing this banner.,
Aprima,https://www.vestbee.com/lp-list/aprima,,https://www.linkedin.com/company/vestbee/,"Germany, Europe",We use cookies for analytics and to improve your experience. You agree to the use of cookies by browsing this website or closing this banner.,
Arbion,https://www.vestbee.com/lp-list/arbion,,https://www.linkedin.com/company/arbion-limited/,"UK, Global",Arbion is an independent investment management and advisory firm working with individuals and institutions worldwide. The company invests in various asset classes. We use cookies for analytics and to improve your experience. You agree to the use of cookies by browsing this website or closing this banner.,
Arcano,https://www.vestbee.com/lp-list/arcano,6900000000,https://www.linkedin.com/company/arcano/,"Spain, Finland","An independent firm specialised in: M&A transactions, refinancing capital markets to companies in various sectors. asset management and Family Office. We use cookies for analytics and to improve your experience. You agree to the use of cookies by browsing this website or closing this banner.",
Ardian,https://www.vestbee.com/lp-list/ardian,145000000000,https://www.linkedin.com/company/ardian/,"France, Global","Ardian is a private investment house, managing assets on behalf of more than 1,400 clients. The firm has a global focus and exposition to various assets classes. We use cookies for analytics and to improve your experience. You agree to the use of cookies by browsing this website or closing this banner.",
Aternus,https://www.vestbee.com/lp-list/aternus,,https://www.linkedin.com/company/vestbee/,"Czech Republic, CEE","We are successful entrepreneurs and investors. We invest in projects with the potential for high rates of return. Besides profit, we place emphasis on positive impact on people's lives. We are a partner of leading Czech and foreign investment funds. Not only do we invest capital in them, but also pass on our know-how and years of experience. We use cookies for analytics and to improve your experience. You agree to the use of cookies by browsing this website or closing this banner.",
Atomico,https://www.vestbee.com/lp-list/atomico,3100000000,https://www.linkedin.com/company/atomico/,"UK, Europe","Atomico is one Europe's top VC firms, investing in ambitious tech founders at Series A and beyond (with a particular focus on Europe), leveraging deep operational experience to supercharge their growth. The company also makes alocations in other high potential early stage VC funds. We use cookies for analytics and to improve your experience. You agree to the use of cookies by browsing this website or closing this banner.","Ada Ventures; Alpha Intelligence Capital; Fabric Ventures; Firstminute Capital; Shilling Founders Fund; Unconventional Ventures; ""Ada Ventures; Accelerators & Corporates"""
Aviva Investors,https://www.vestbee.com/lp-list/aviva-investors,255000000000,https://www.linkedin.com/company/aviva-investors/about/,"UK, Global","Aviva Investors is a global investment firm with expertise in real estate, fixed income, equity, multi-asset and alternative investments. The company is an asset management arm of Aviva - the British insurance conglomerate. We use cookies for analytics and to improve your experience. You agree to the use of cookies by browsing this website or closing this banner.","Aviva Ventures""; Accelerators & Corporates""; Aviva Ventures"
AXA Venture Partners,https://www.vestbee.com/lp-list/axa-venture-partners,1000000000,https://www.linkedin.com/company/axavp/,"France, Europe","AVP (AXA Venture Partners) is a venture capital fund investing in high-growth, technology-enabled companies and fund managers. The company is a subsidiary of AXA a French multinational insurance company. We use cookies for analytics and to improve your experience. You agree to the use of cookies by browsing this website or closing this banner.","""AXA Venture Partners""; ""AVP (AXA Venture Partners) is a venture capital fund investing in high-growth; Capnamic Ventures""; ""Fund of funds""; Accelerators & Corporates""; Capnamic Ventures"
Axel Springer Digital Ventures,https://www.vestbee.com/lp-list/axel-springer-digital-ventures,,https://www.linkedin.com/company/vestbee/,"Germany, EMEA","Axel Springer Digital Ventures is a CVC fund. The fund's core investment focus is on fast growing companies connected to Axel Springer's business, accelerators and VC funds. We use cookies for analytics and to improve your experience. You agree to the use of cookies by browsing this website or closing this banner.","FJ Labs; ""Axel Springer Digital Ventures""; Remagine Ventures""; ""Fund of funds""; Accelerators & Corporates""; Remagine Ventures"
AXIS,https://www.vestbee.com/lp-list/axis,9150000000,https://www.linkedin.com/company/vestbee/,Spain,"AXIS is a venture/private capital manager wholly owned by Instituto de Crédito Oficial (ICO). it is focused on promoting the growth, development and internationalisation of Spanish companies through equity and quasi-equity instruments. We use cookies for analytics and to improve your experience. You agree to the use of cookies by browsing this website or closing this banner.","Kibo Ventures; alter Cap Ventures; Conexo Ventures; Grow Seed Fund I FCRE; Invivo Ventures FCR; JME Ventures II; NExt Technology Ventures II FCR; Seadrocket 4Founders Capital SCR PYME SA""; ""Fund of funds""; Accelerators & Corporates""; Seadrocket 4Founders Capital SCR PYME SA"
Axon Partners Group,https://www.vestbee.com/lp-list/axon-partners-group,,https://www.linkedin.com/company/axon-partners-group/?originalSubdomain=uk,"USA, Spain","Axon Partners Group is a global investment firm, focused on technology and innovation with a two-dimensional approach: investment and consulting. We use cookies for analytics and to improve your experience. You agree to the use of cookies by browsing this website or closing this banner.","""Axon Partners Group""; ""Axon Partners Group is a global investment firm; Accelerators & Corporates"""
Ballou Capital,https://www.vestbee.com/lp-list/ballou-capital,,https://www.linkedin.com/company/vestbee/,"UK, Europe","Ballou Capital is an investment vehicle of entrepreneur, angel investor and limited partner (LP) Colette Ballou. We use cookies for analytics and to improve your experience. You agree to the use of cookies by browsing this website or closing this banner.",
Basecamp,https://www.vestbee.com/lp-list/basecamp,,https://www.linkedin.com/company/phxcrt/,"UK, Global","Basecamp is a fund of fund arm of the Phoenix Court Group. The fund invests in small VCs, angels and solo GPs. We use cookies for analytics and to improve your experience. You agree to the use of cookies by browsing this website or closing this banner.",
Bayerische Landesbank,https://www.vestbee.com/lp-list/bayerische-landesbank,,https://www.linkedin.com/company/bayerische-landesbank/,"Germany, Europe",Bayerische Landesbank is a specialized commercial bank based in Munich. It primarily focuses on providing financial services to large and medium-sized companies in Bavaria and beyond. We use cookies for analytics and to improve your experience. You agree to the use of cookies by browsing this website or closing this banner.,
Berenberg Bank,https://www.vestbee.com/lp-list/berenberg-bank,,https://www.linkedin.com/company/berenberg-bank/,"NAMER, Germany","Established in 1590, Berenberg is one of the oldest banks in the world and it is one of Europe’s leading privately-owned bank. The bank combines expertise from asset management, investment banking, and corporate banking and has exposure to asset classes of various risk profiles. We use cookies for analytics and to improve your experience. You agree to the use of cookies by browsing this website or closing this banner.",
Big Society Capital,https://www.vestbee.com/lp-list/big-society-capital,,https://www.linkedin.com/company/big-society-capital/,UK,Big Society Capital is UK's leading social impact investor. Its mission is to grow the amount of money invested in tackling social issues and inequalities in the UK. We use cookies for analytics and to improve your experience. You agree to the use of cookies by browsing this website or closing this banner.,
Blue Future Partners,https://www.vestbee.com/lp-list/blue-future-partners,,https://www.linkedin.com/company/bluefp/about/,"USA, Israel, APAC, Germany",Blue Future Partners is a hybrid venture capital fund of funds. It backs emerging managers focused on early-stage technology investments and is dedicated to making a positive difference by targeting organizations that address the world's pressing challenges. We use cookies for analytics and to improve your experience. You agree to the use of cookies by browsing this website or closing this banner.,"Ubiguity Ventures; 11.2 Capital; Ascent Vietnam Ventures; Kindred Ventures; Angular Ventures; Chalfen Ventures; Construct Capital; Grove Ventures; Enligth Growth Partners; Monk's Hill Ventures; Scribble Ventures; ""Blue Future Partners""; ""Ubiguity Ventures; ""Fund of funds""; Accelerators & Corporates"""
Blue Wire Capital,https://www.vestbee.com/lp-list/blue-wire-capital,,https://www.linkedin.com/company/blue-wire-capital/about/,"UK, Global",Blue Wire Capital is an early-stage venture capital firm that invests in technology companies. The fund also invests in other VCs making on average 1 - 2 investment per year. We use cookies for analytics and to improve your experience. You agree to the use of cookies by browsing this website or closing this banner.,"Creator Ventures; ""Blue Wire Capital""; ""Creator Ventures; Creator Fund and Form Ventures.""; ""Fund of funds""; Accelerators & Corporates""; Creator Fund and Form Ventures."
BNP Paribas Asset Managment,https://www.vestbee.com/lp-list/bnp-paribas-asset-managment,,https://www.linkedin.com/company/bnp-paribas-asset-management/,"NAMER, LATAM, France",BNP Paribas Capital Partners is a fund of funds based in Paris. The firm operates as the private equity and venture capital arm of BNP Paribas. It specializes in direct and fund funds investments. We use cookies for analytics and to improve your experience. You agree to the use of cookies by browsing this website or closing this banner.,"Elaia Ventures; Elaia Delta Fund; PSL InnovationFund; Serena Data Ventures; Black Tech Fund; ""Elaia Ventures; Accelerators & Corporates"""
BPD Partners,https://www.vestbee.com/lp-list/bpd-partners,,https://www.linkedin.com/company/bpd-partners/,"Czech Republic, Global","A Czech Family Office founded by three Czech entrepreneurs Petr Pudil, Vasil Bobela and Jan Dobrovský. The company invests in various asset classes. We use cookies for analytics and to improve your experience. You agree to the use of cookies by browsing this website or closing this banner.",
BPI France,https://www.vestbee.com/lp-list/bpi-france,,https://www.linkedin.com/company/bpifrance/,"France, Global","Bpi France is a public investment bank which supports companies, from start-up to stock market listing, from credit to equity. Bpi France is a key institution in France and prides itself on being a one-stop shop for entrepreneurs, providing tailored support and fostering economic growth and competitiveness in France. Bpi France also acts as fund of fund and invests in VC funds. We use cookies for analytics and to improve your experience. You agree to the use of cookies by browsing this website or closing this banner.","CosmiCapital; Elaia Delta Fund; Felix Capital; Frenchfood Capital; Future Positive Capital; Gaia Capital Partners; Idinvest Growth Fund; Jerusalem Venture Partners; Lauxera Capital Partners; Ledger Cathay Capital; Paris-Saclay Seed Fund; PSL Innovation Fund; Revaia (fka Gaia Capital Partners); Ring Capital; Serena Capital; Accelerators & Corporates"""
BRED Banque Populaire,https://www.vestbee.com/lp-list/bred-banque-populaire,5000000000,https://www.linkedin.com/company/bred-banque-populaire/,"APAC, France","Bred is a cooperative bank and part of the Banque Populaire group. It offers a wide range of banking services and emphasizes a strong cooperative ethos, with a commitment to serving the real economy and being closely connected to its customers and communities. We use cookies for analytics and to improve your experience. You agree to the use of cookies by browsing this website or closing this banner.","Elaia Delta Fund; Elaia Ventures; ""Elaia Delta Fund; Accelerators & Corporates"""
Bristish Patient Capital,https://www.vestbee.com/lp-list/bristish-patient-capital,2800000000,https://www.linkedin.com/company/british-patient-capital/,"Israel, UK","British Patient Capital is a separate subsidiary of the British Business Bank. It invests in a diversified portfolio of best-in-class venture and growth capital funds, and start ups. We use cookies for analytics and to improve your experience. You agree to the use of cookies by browsing this website or closing this banner.","Fund of funds Investment geography Europe; Kindred Capital; SV Biotech Crossover Opportunities Fund; Finch Capital; Crane Venutre Partners; Cambridge Innovation Capital Fund; Nauta Capital; Nauta Capital Sidecar; Notion Capital; Passion Capital; Scottish Equity Partners; UCL Technology Fund; 7percent Ventures; Amadeus Capital Partners; Connect Ventures; ETF Partners; Green Generation Fund; IQ Capital; ""Bristish Patient Capital""; ""Fund of funds""; Accelerators & Corporates"""
British Business Bank,https://www.vestbee.com/lp-list/british-business-bank,,https://www.linkedin.com/company/british-business-bank/,"NAMER, UK","British Business Bank is a state-owned business development bank dedicated to making financial markets work better for smaller businesses. It offers a variety of finance options to support businesses in starting up, scaling up, and staying ahead. We use cookies for analytics and to improve your experience. You agree to the use of cookies by browsing this website or closing this banner.","Proof-of-Concept and Early Stage Equity Fund; Redrice Ventures; Seraphim Space Fund; Accelerated Digital Ventures; Ada Ventures; Atlantic Bridge Capital; Concept Ventures; EKA Ventures; Form Ventures; Accelerators & Corporates"""
Brothers & Partners  Europe,https://www.vestbee.com/lp-list/brothers-and-partners-europe,,https://www.linkedin.com/company/brothers-&-partners-europe/about/,"France, Global","Brothers & Partners Europe is a cross-border Multi family office spanning 3 continents, proactively partnering with the Companies and Funds. The company invests with other top-tier Family Offices, Institutional & Private Equity Investors. Its investment thesis is focused on life sciences and healthcare. We use cookies for analytics and to improve your experience. You agree to the use of cookies by browsing this website or closing this banner.",
Caisse des Depots Groupe,https://www.vestbee.com/lp-list/caisse-des-depots-groupe,,https://www.linkedin.com/company/groupe-caisse-des-d%C3%A9p%C3%B4ts/?originalSubdomain=fr,"NAMER, LATAM, EMEA, France","Caisse des Dépôts is a french public financial institution. With a focus on sustainable development and public interest, it operates across various sectors to enhance the daily lives of French citizens. We use cookies for analytics and to improve your experience. You agree to the use of cookies by browsing this website or closing this banner.",
Caledonia Investments,https://www.vestbee.com/lp-list/caledonia-investments,3000000000,https://www.linkedin.com/company/caledonia-investments/,"NAMER, Europe, UK",We use cookies for analytics and to improve your experience. You agree to the use of cookies by browsing this website or closing this banner.,
Campden Hill Capital,https://www.vestbee.com/lp-list/campden-hill-capital,,https://www.linkedin.com/company/campden-hill-capital/,"UK, Global",We use cookies for analytics and to improve your experience. You agree to the use of cookies by browsing this website or closing this banner.,"TPY Capital; ""Campden Hill Capital""; Accelerators & Corporates"""
Caplantic,https://www.vestbee.com/lp-list/caplantic,,https://www.linkedin.com/company/caplantic-gmbh/,"NAMER, LATAM, EMEA, Germany",Caplantic is an specialized investment boutique offering individual services related to products focussing on Alternative Assets and Financial Solutions. We use cookies for analytics and to improve your experience. You agree to the use of cookies by browsing this website or closing this banner.,
Cazenove Capital,https://www.vestbee.com/lp-list/cazenove-capital,,https://www.linkedin.com/company/cazenove-capital/,"UK, Global","Cazenove Capital is a wealth management firm offering its services to a variety of clients (from individuals, through family offices and university endowments). The company has exposure to a variety of asset classes. We use cookies for analytics and to improve your experience. You agree to the use of cookies by browsing this website or closing this banner.",
CBL Asset Management pension fund from Latvia,https://www.vestbee.com/lp-list/cbl-asset-management-pension-fund-from-latvia,,https://www.linkedin.com/company/citadele-asset-management/,Latvia,"CBL Asset Management is one of the largest asset managers in the Baltics. The company specializes in a range of investment funds, including opportunities, bond, and equity funds. We use cookies for analytics and to improve your experience. You agree to the use of cookies by browsing this website or closing this banner.",
CDP Group,https://www.vestbee.com/lp-list/cdp-group,,https://www.linkedin.com/company/cdp-cassa-depositi-e-prestiti/,"Italy, Global","The Cassa depositi e prestiti Group is the national promotional institution. It finances public investments, supports international cooperation and is the catalyst for the italy's infrastructure growth. We use cookies for analytics and to improve your experience. You agree to the use of cookies by browsing this website or closing this banner.","Large Ventures""; Accelerators & Corporates""; Large Ventures"
CdP Venture Capital SGR,https://www.vestbee.com/lp-list/cd-p-venture-capital-sgr,465000000,https://www.linkedin.com/company/cdp-venture-capital-sgr/,Italy,CDP Venture Capital SGR – National Innovation Fund was created to accelerate the growth of the Italian Venture Capital ecosystem and make it a cornerstone of the country's economic development and innovation. It is a fund of fund investing in Italian VC funds. We use cookies for analytics and to improve your experience. You agree to the use of cookies by browsing this website or closing this banner.,"Panakes Partners; Prana Ventures; 360 Capital; ""CdP Venture Capital SGR""; ""Fund of funds""; Accelerators & Corporates"""
Cendana Capital,https://www.vestbee.com/lp-list/cendana-capital,2000000000,https://www.linkedin.com/company/cendana-capital/,"USA, Global","Cendana Capital specializes in providing strategic, high-conviction capital to early-stage venture capital funds globally. The company is known for fostering a unique ecosystem, working closely with general partners, limited partners, and founders to create value for their investors. We use cookies for analytics and to improve your experience. You agree to the use of cookies by browsing this website or closing this banner.","01 Ventures; 11.2 Ventures; Accelerator Ventures; Better Tomorrow Ventures; Blackbird Ventures; Bowery Capital; Cherubic Ventures; Collaborative Fund; Engineering Capital; Entree Capital; Forerunner Ventures; Freestyle Capital; Golden Ventures; IA Ventures; K9 Ventures; MHS Capital; Moxxie Ventures; Mucker Capital; Neo Ventures; NextView Ventures; Notation Capital; PivotNorth Capital; Rhapsody Venture Partners; Root Ventures; Saama Capital; Silicon Valley Data Capital; Spider Capital; Susa Ventures; ""Cendana Capital""; ""Cendana Capital specializes in providing strategic; ""01 Ventures; Uncork VC (fka SoftTech VC) and Wave Capital""; ""Fund of funds""; Accelerators & Corporates""; Uncork VC (fka SoftTech VC) and Wave Capital"
Ceska Sporitelna,https://www.vestbee.com/lp-list/ceska-sporitelna,,https://www.linkedin.com/company/ceska-sporitelna/,"Czech Republic, CEE",We use cookies for analytics and to improve your experience. You agree to the use of cookies by browsing this website or closing this banner.,
Chr. Augustinus Fabrikker,https://www.vestbee.com/lp-list/chr-augustinus-fabrikker,,https://www.linkedin.com/company/augustinusfabrikker/,"Denmark, Europe","Chr. Augustinus Fabrikker operates as an investment management firm with a core focus on dedicated ownership of Danish businesses. Through active engagement and commitment, they aim to strengthen their investments and contribute positively to the Danish business community. We use cookies for analytics and to improve your experience. You agree to the use of cookies by browsing this website or closing this banner.","Ocean 14 Capital; Seed Capital; Unconventional Ventures""; Accelerators & Corporates""; Unconventional Ventures"
Church Commissioners,https://www.vestbee.com/lp-list/church-commissioners,12000000000,https://www.linkedin.com/company/church-commissioners/about/,"UK, Global",We use cookies for analytics and to improve your experience. You agree to the use of cookies by browsing this website or closing this banner.,
CNP Assurances,https://www.vestbee.com/lp-list/cnp-assurances,320000000000,https://www.linkedin.com/company/cnp/,"Europe, France","CNP is a leading France's provider of life insurance and term creditor insurance, and the sixth-largest insurance company in Brazil. We use cookies for analytics and to improve your experience. You agree to the use of cookies by browsing this website or closing this banner.",
Collective Action,https://www.vestbee.com/lp-list/collective-action,,https://www.linkedin.com/company/collective-action-for-impact/,"Netherlands, Global",Collective action is the first of its kind impact investment collaboration platform for like-minded institutional investors. The company facilitates collaboration between global investors who aim to generate measurable social and environmental impact and financial returns in private markets. We use cookies for analytics and to improve your experience. You agree to the use of cookies by browsing this website or closing this banner.,
Coller Capital,https://www.vestbee.com/lp-list/coller-capital,,https://www.linkedin.com/company/coller-capital/,"NAMER, LATAM, EMEA, UK","Coller Capital is an asset management company specializing in private equity secondaries - i.e. it acquires positions in funds from LPs, and portfolios of unquoted companies. We use cookies for analytics and to improve your experience. You agree to the use of cookies by browsing this website or closing this banner.",
Compagnia di San Paolo,https://www.vestbee.com/lp-list/compagnia-di-san-paolo,,https://www.linkedin.com/company/fondazione-compagnia-di-san-paolo/,"Italy, Europe","Fondazione Compagnia di San Paolo is an Italian institution focused on social, cultural, and economic development. It invest in various projects for the common good, emphasizing culture, people, and the planet. We use cookies for analytics and to improve your experience. You agree to the use of cookies by browsing this website or closing this banner.","Lunar Ventures; Accelerators & Corporates"""
Concentric,https://www.vestbee.com/lp-list/concentric,,https://www.linkedin.com/company/concentric-ventures/,"UK, Europe",Concentric is a venture capital firm and a fund of funds that partners with sector-defining founders and GPs across Europe to create new technologies that solve the problems that matter We use cookies for analytics and to improve your experience. You agree to the use of cookies by browsing this website or closing this banner.,"Portfolio Ventures; Runa Capital; 4Bio Capital""; ""Fund of funds""; Accelerators & Corporates""; 4Bio Capital; Ventures"
Connection Capital,https://www.vestbee.com/lp-list/connection-capital,,https://www.linkedin.com/company/connection-capital-llp/,"NAMER, UK","Connection Capital is a specialist syndicator of investment funds from private investors into private equity, commercial property deals & alternative asset funds. We use cookies for analytics and to improve your experience. You agree to the use of cookies by browsing this website or closing this banner.",
Consilium,https://www.vestbee.com/lp-list/consilium,,https://www.linkedin.com/company/vestbee/,"Czech Republic, CEE",Connection Capital is a Prague based single family office of the Nemec family. The company seeks investments with strong value creation and growth potential. We use cookies for analytics and to improve your experience. You agree to the use of cookies by browsing this website or closing this banner.,
Corecam Capital,https://www.vestbee.com/lp-list/corecam-capital,,https://www.linkedin.com/company/corecam/,"Switzerland, Global","Corecam is an independent investment adviser, serving global entrepreneurs and their families. It specializes in multi-asset class investment management and exclusive co-investments. We use cookies for analytics and to improve your experience. You agree to the use of cookies by browsing this website or closing this banner.",
Crédit Agricole CIB,https://www.vestbee.com/lp-list/credit-agricole-cib,,https://www.linkedin.com/company/credit-agricole-cib/about/,"France, EMEA","Crédit Agricole CIB is a corporate and investment banking arm of Crédit Agricole. Company's services include structured finance, investment banking, and capital markets solutions. We use cookies for analytics and to improve your experience. You agree to the use of cookies by browsing this website or closing this banner.",
Crédit Coopératif,https://www.vestbee.com/lp-list/credit-cooperatif,,https://www.linkedin.com/company/credit-cooperatif/,"France, EMEA","Crédit Coopératif is a French cooperative bank offering a range of financial products and services for individuals, associations, and companies. The bank emphasizes sustainable and socially responsible banking, focusing on ethical investments and financing projects that benefit the community and environment. We use cookies for analytics and to improve your experience. You agree to the use of cookies by browsing this website or closing this banner.",
Crédit Mutuel Arkéa,https://www.vestbee.com/lp-list/credit-mutuel-arkea,,https://www.linkedin.com/company/credit-mutuel-arkea/,France,Crédit Mutuel Arkéa is a major cooperative banking group in France. It is committed to supporting both maritime activities and local communities. It is present in 19 out of 22 French regions. We use cookies for analytics and to improve your experience. You agree to the use of cookies by browsing this website or closing this banner.,"Accelerators & Corporates"""
Dara5,https://www.vestbee.com/lp-list/dara5,,https://www.linkedin.com/company/dara5/,"Europe, UK",We use cookies for analytics and to improve your experience. You agree to the use of cookies by browsing this website or closing this banner.,
Delin Capital,https://www.vestbee.com/lp-list/delin-capital,,https://www.linkedin.com/company/vestbee/,"UK, Europe",Delina Capital is an entrepreneurial private investment company focusing on logistics real estate and venture capital. We use cookies for analytics and to improve your experience. You agree to the use of cookies by browsing this website or closing this banner.,"""Delin Capital""; Accelerators & Corporates"""
Dunedin,https://www.vestbee.com/lp-list/dunedin,,https://www.linkedin.com/company/dunedin-llp/,UK,We use cookies for analytics and to improve your experience. You agree to the use of cookies by browsing this website or closing this banner.,
DWS,https://www.vestbee.com/lp-list/dws,860000000000,https://www.linkedin.com/company/dwsgroup/,"NAMER, LATAM, EMEA, Germany","DWS Group is a global asset management company providing a comprehensive range of investment products and services. The company focuses on creating sustainable investment solutions, with an emphasis on responsible business practices and a commitment to ESG principles. DWS offers a diverse array of asset classes to meet various investor needs. We use cookies for analytics and to improve your experience. You agree to the use of cookies by browsing this website or closing this banner.",
EBRD,https://www.vestbee.com/lp-list/ebrd,,https://www.linkedin.com/company/ebrd/,"UK, Global","The European Bank for Reconstruction and Development (EBRD) is a multinational development bank founded in 1991 to support the transition towards open, market-oriented economies, and to promote private and entrepreneurial initiative. The EBRD invests across three continents and is a leader in climate finance. It also invests in VC funds. We use cookies for analytics and to improve your experience. You agree to the use of cookies by browsing this website or closing this banner.",
Edmond de Rothschild Group,https://www.vestbee.com/lp-list/edmond-de-rothschild-group,174000000000,https://www.linkedin.com/company/edmond-de-rothschild/,"Switzerland, Global","The Edmond de Rothschild Group is a Geneva-based, family-owned, and independent financial institution specializing in private banking and asset management We use cookies for analytics and to improve your experience. You agree to the use of cookies by browsing this website or closing this banner.","Amethis Europe Expansion Fund; ""Amethis Europe Expansion Fund; Accelerators & Corporates"""
Elo Mutual Pension Insurance Company,https://www.vestbee.com/lp-list/elo-mutual-pension-insurance-company,29000000000,https://www.linkedin.com/company/tyoelakeyhtio-elo/,Finland,"Elo is a Finnish pension insurance company, offering services for employers, entrepreneurs, and individuals. As a part of its investment strategy, the company has an exposure to Venture Capital. We use cookies for analytics and to improve your experience. You agree to the use of cookies by browsing this website or closing this banner.","Butterfly Ventures; the company has an exposure to Venture Capital.""; ""Butterfly Ventures; Vendep Capital""; ""Pension Fund""; Accelerators & Corporates""; Vendep Capital"
Enern Investments,https://www.vestbee.com/lp-list/enern-investments,,https://www.linkedin.com/company/vestbee/,"Czech Republic, CEE","Enern is an investment firm operating a family of investment vehicles, investing in sectors poised for enduring change. We use cookies for analytics and to improve your experience. You agree to the use of cookies by browsing this website or closing this banner.","Orbit Capital""; Accelerators & Corporates""; Orbit Capital"
